attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country
5134.0,reported,accesso ShoWare Center,arena,7141.0,North America,United States,Kent,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
11975.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
12170.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
10287.0,reported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Mexico
10784.0,reported,Kia Center,arena,17030.0,North America,United States,Orlando,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
11384.0,reported,Spectrum Center,arena,18504.0,North America,United States,Charlotte,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
11504.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
10755.0,reported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Canada
13077.0,reported,United Center,arena,23500.0,North America,United States,Chicago,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States
9192.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_England
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_France
4000.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Netherlands
3045.0,reported,Centennial Hall ,concert hall,4800.0,Europe,Germany,Frankfurt,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Germany
8100.0,reported,Movistar Arena,arena,15000.0,Europe,Spain,Madrid,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Spain
19855.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_South Korea
29092.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,3,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_South Korea
,unreported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan
,unreported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,3,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan
,unreported,Aichi International Arena,arena,17000.0,Asia,Japan,Nagoya,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Thailand
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Japan
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Hong Kong
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Macau
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Indonesia
,unreported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Japan
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Japan
,unreported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_South Korea
,unreported,Taipei Dome,stadium,59833.0,Asia,Taiwan,Taipei,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Taiwan
,unreported,Mercado Livre Arena Pacaembu,stadium,40000.0,South America,Brazil,São Paulo,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Brazil
,unreported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Chile
,unreported,Costa 21,concert hall,30000.0,South America,Peru,Lima,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Peru
,unreported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Mexico
,unreported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Canada
5494.0,parcial,UBS Arena,arena,19000.0,North America,United States,New York,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
5060.0,parcial,Capital One Arena,arena,20356.0,North America,United States,Washington,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
5806.0,parcial,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
6767.0,parcial,Kaseya Center,arena,20000.0,North America,United States,Miami,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
7430.0,unreported,American Airlines Center,arena,21000.0,North America,United States,Dallas,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
9187.0,unreported,Intuit Dome,arena,18300.0,North America,United States,Inglewood,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
,unreported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States
,unreported,Rogers Arena,arena,19000.0,North America,Canada,Vancouver,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Canada
,unreported,AO Arena,arena,21000.0,Europe,England,Manchester,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_England
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_England
