attendance,reporting_status,artist_name,gender,generation,tour_type,members,stage_setup,company,continent,country,city,venue_name,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
10783.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Oceania,Australia,Melbourne,Rod Laver Arena,arena,14820.0,1,2024,9,3,Mon,Mon,0,3,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Macau,Macau,Studio City,concert hall,,2,2024,9,3,Sat,Sun,1,3,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Thailand,Bangkok,IMPACT Arena,arena,12000.0,2,2024,9,3,Sat,Sun,1,3,growing
5134.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Kent,accesso ShoWare Center,arena,7141.0,1,2025,1,1,Tue,Tue,0,4,growing
11975.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Oakland,Oakland Arena,arena,19596.0,1,2025,1,1,Thu,Thu,0,4,growing
12170.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Inglewood,Kia Forum,arena,17500.0,1,2025,2,1,Sat,Sat,1,4,growing
10287.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,Mexico,Mexico City,Palacio de los Deportes,arena,26000.0,1,2025,2,1,Tue,Tue,0,4,growing
10784.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Orlando,Kia Center,arena,17030.0,1,2025,2,1,Thu,Thu,0,4,growing
11384.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Charlotte,Spectrum Center,arena,18504.0,1,2025,2,1,Sat,Sat,1,4,growing
11504.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Newark,Prudential Center,arena,17000.0,1,2025,2,1,Tue,Tue,0,4,growing
10755.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,Canada,Toronto,Scotiabank Arena,arena,19800.0,1,2025,2,1,Thu,Thu,0,4,growing
13077.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Chicago,United Center,arena,23500.0,1,2025,2,1,Sat,Sat,1,4,growing
9192.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,England,London,Wembley Arena,arena,12500.0,1,2025,3,1,Sun,Sun,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,France,Paris,Zénith,arena,9000.0,1,2025,3,1,Tue,Tue,0,4,growing
4000.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Netherlands,Amsterdam,AFAS Live,concert hall,6000.0,1,2025,3,1,Thu,Thu,0,4,growing
3045.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Germany,Frankfurt,Centennial Hall ,concert hall,4800.0,1,2025,3,1,Sun,Sun,1,4,growing
8100.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Spain,Madrid,Movistar Arena,arena,15000.0,1,2025,3,1,Wed,Wed,0,4,growing
19855.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,South Korea,Seoul,KSPO Dome,arena,15000.0,2,2025,3,1,Sat,Sun,1,4,growing
29092.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,South Korea,Seoul,KSPO Dome,arena,15000.0,3,2025,8,3,Fri,Sun,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Fukuoka,Marine Messe,arena,15000.0,2,2025,10,4,Sat,Sun,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Tokyo,Ariake Arena,arena,15000.0,3,2025,10,4,Sat,Mon,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Nagoya,Aichi International Arena,arena,17000.0,2,2025,10,4,Sat,Sun,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Tokyo,Yoyogi National Gymnasium,arena,12898.0,2,2025,11,4,Sat,Sun,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Thailand,Bangkok,IMPACT Arena,arena,12000.0,2,2025,11,4,Sat,Sun,1,4,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Osaka,Osaka-jō Hall,arena,16000.0,2,2025,11,4,Wed,Thu,0,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Hong Kong,Hong Kong,AsiaWorld–Expo,arena,14000.0,2,2026,2,1,Sat,Sun,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Macau,Macau,Galaxy Arena,arena,16000.0,2,2026,3,1,Sat,Sun,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Indonesia,Tangerang,ICE BSD,concert hall,,1,2026,4,2,Sat,Sat,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Osaka,Kyocera Dome,stadium,55000.0,2,2026,4,2,Sat,Sun,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Tokyo,Tokyo Dome,stadium,55000.0,2,2026,4,2,Sat,Sun,1,5,growing
