attendance,reporting_status,gender,generation,tour_type,members,stage_setup,continent,country,city,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
9192.0,reported,female,4,world tour,4,end stage,Europe,England,London,arena,12500.0,1,2025,3,1,Sun,Sun,1,4,growing
,unreported,female,4,world tour,4,end stage,Europe,France,Paris,arena,9000.0,1,2025,3,1,Tue,Tue,0,4,growing
4000.0,reported,female,4,world tour,4,end stage,Europe,Netherlands,Amsterdam,concert hall,6000.0,1,2025,3,1,Thu,Thu,0,4,growing
3045.0,reported,female,4,world tour,4,end stage,Europe,Germany,Frankfurt,concert hall,4800.0,1,2025,3,1,Sun,Sun,1,4,growing
8100.0,reported,female,4,world tour,4,end stage,Europe,Spain,Madrid,arena,15000.0,1,2025,3,1,Wed,Wed,0,4,growing
19855.0,parcial,female,4,world tour,4,end stage,Asia,South Korea,Seoul,arena,15000.0,2,2025,3,1,Sat,Sun,1,4,growing
29092.0,parcial,female,4,world tour,4,end stage,Asia,South Korea,Seoul,arena,15000.0,3,2025,8,3,Fri,Sun,1,4,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Fukuoka,arena,15000.0,2,2025,10,4,Sat,Sun,1,4,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Tokyo,arena,15000.0,3,2025,10,4,Sat,Mon,1,4,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Nagoya,arena,17000.0,2,2025,10,4,Sat,Sun,1,4,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Tokyo,arena,12898.0,2,2025,11,4,Sat,Sun,1,4,growing
,unreported,female,4,world tour,4,end stage,Asia,Thailand,Bangkok,arena,12000.0,2,2025,11,4,Sat,Sun,1,4,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Osaka,arena,16000.0,2,2025,11,4,Wed,Thu,0,5,growing
,unreported,female,4,world tour,4,end stage,Asia,Hong Kong,Hong Kong,arena,14000.0,2,2026,2,1,Sat,Sun,1,5,growing
,unreported,female,4,world tour,4,end stage,Asia,Macau,Macau,arena,16000.0,2,2026,3,1,Sat,Sun,1,5,growing
,unreported,female,4,world tour,4,end stage,Asia,Indonesia,Tangerang,concert hall,,1,2026,4,2,Sat,Sat,1,5,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Osaka,stadium,55000.0,2,2026,4,2,Sat,Sun,1,5,growing
,unreported,female,4,world tour,4,end stage,Asia,Japan,Tokyo,stadium,55000.0,2,2026,4,2,Sat,Sun,1,5,growing
,unreported,female,4,world tour,4,end stage,Asia,South Korea,Seoul,stadium,16744.0,2,2026,8,3,Fri,Sat,1,5,growing
,unreported,female,4,world tour,4,end stage,Asia,Taiwan,Taipei,stadium,59833.0,1,2026,8,3,Tue,Tue,0,5,growing
,unreported,female,4,world tour,4,end stage,South America,Brazil,São Paulo,stadium,40000.0,1,2026,9,3,Fri,Fri,1,5,growing
,unreported,female,4,world tour,4,end stage,South America,Chile,Santiago,arena,15500.0,1,2026,9,3,Sun,Sun,1,5,growing
,unreported,female,4,world tour,4,end stage,South America,Peru,Lima,concert hall,30000.0,1,2026,9,3,Wed,Wed,0,5,growing
,unreported,female,4,world tour,4,end stage,North America,Mexico,Mexico City,arena,26000.0,1,2026,9,3,Fri,Fri,1,5,growing
,unreported,female,4,world tour,4,end stage,North America,Canada,Hamilton,arena,18000.0,1,2026,9,3,Tue,Tue,0,5,growing
5494.0,parcial,female,4,world tour,4,end stage,North America,United States,New York,arena,19000.0,1,2026,9,3,Fri,Fri,1,5,growing
5060.0,parcial,female,4,world tour,4,end stage,North America,United States,Washington,arena,20356.0,1,2026,9,3,Tue,Tue,0,5,growing
5806.0,parcial,female,4,world tour,4,end stage,North America,United States,Atlanta,arena,18000.0,1,2026,9,3,Thu,Thu,0,5,growing
6767.0,parcial,female,4,world tour,4,end stage,North America,United States,Miami,arena,20000.0,1,2026,9,3,Sat,Sat,1,5,growing
7430.0,unreported,female,4,world tour,4,end stage,North America,United States,Dallas,arena,21000.0,1,2026,9,3,Tue,Tue,0,5,growing
9187.0,unreported,female,4,world tour,4,end stage,North America,United States,Inglewood,arena,18300.0,1,2026,10,4,Sat,Sat,1,5,growing
,unreported,female,4,world tour,4,end stage,North America,United States,Oakland,arena,19596.0,1,2026,10,4,Tue,Tue,0,5,growing
,unreported,female,4,world tour,4,end stage,North America,United States,Seattle,arena,17200.0,1,2026,10,4,Fri,Fri,1,5,growing
,unreported,female,4,world tour,4,end stage,North America,Canada,Vancouver,arena,19000.0,1,2026,10,4,Sun,Sun,1,5,growing
,unreported,female,4,world tour,4,end stage,Europe,England,Manchester,arena,21000.0,1,2027,1,1,Thu,Thu,0,6,established
,unreported,female,4,world tour,4,end stage,Europe,England,London,arena,20000.0,1,2027,1,1,Sat,Sat,1,6,established
,unreported,female,4,world tour,4,end stage,Europe,Netherlands,Amsterdam,arena,17000.0,1,2027,1,1,Tue,Tue,0,6,established
,unreported,female,4,world tour,4,end stage,Europe,Sweden,Stockholm,arena,16000.0,1,2027,1,1,Fri,Fri,1,6,established
,unreported,female,4,world tour,4,end stage,Europe,Denmark,Copenhagen,arena,17000.0,1,2027,1,1,Sun,Sun,1,6,established
,unreported,female,4,world tour,4,end stage,Europe,Germany,Berlin,arena,17000.0,1,2027,1,1,Tue,Tue,0,6,established
,unreported,female,4,world tour,4,end stage,Europe,Italy,Milan,arena,16000.0,1,2027,1,1,Fri,Fri,1,6,established
,unreported,female,4,world tour,4,end stage,Europe,Spain,Barcelona,arena,17960.0,1,2027,1,1,Sun,Sun,1,6,established
,unreported,female,4,world tour,4,end stage,Europe,France,Paris,arena,20300.0,1,2027,2,1,Tue,Tue,0,6,established
16706.0,parcial,female,5,world tour,7,end stage,Asia,South Korea,Seoul,arena,15000.0,2,2025,1,1,Sat,Sun,1,0,rookie
,unreported,female,5,world tour,7,end stage,North America,United States,Newark,arena,17000.0,1,2025,2,1,Fri,Fri,1,0,rookie
,unreported,female,5,world tour,7,end stage,North America,United States,Inglewood,arena,17500.0,1,2025,3,1,Sun,Sun,1,0,rookie
24918.0,reported,female,5,world tour,7,end stage,Asia,Japan,Yokohama,arena,12141.0,3,2025,3,1,Fri,Sun,1,0,rookie
,unreported,female,5,world tour,7,end stage,Asia,Japan,Nagoya,concert hall,15000.0,2,2025,3,1,Sat,Sun,1,0,rookie
,unreported,female,5,world tour,7,end stage,Asia,Japan,Osaka,arena,16000.0,2,2025,4,2,Thu,Fri,0,1,rookie
40936.0,reported,female,5,world tour,7,end stage,Asia,Japan,Yokohama,arena,20000.0,3,2025,4,2,Fri,Sun,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Japan,Fukuoka,arena,10000.0,2,2025,4,2,Sat,Sun,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Singapore,Singapore,arena,9000.0,1,2025,5,2,Sat,Sat,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Hong Kong,Hong Kong,arena,14000.0,2,2025,5,2,Sat,Sun,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Vietnam,Ho Chi Minh City,concert hall,2000.0,1,2025,5,2,Sat,Sat,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Thailand,Bangkok,arena,12000.0,2,2025,6,2,Sat,Sun,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Indonesia,Tangerang,concert hall,,1,2025,6,2,Sat,Sat,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Malaysia,Kuala Lumpur,arena,11000.0,1,2025,6,2,Sat,Sat,1,1,rookie
,unreported,female,5,world tour,7,end stage,Asia,Taiwan,Taoyuan,arena,15000.0,2,2025,6,2,Sat,Sun,1,1,rookie
,unreported,female,5,world tour,7,end stage,North America,Canada,Toronto,arena,19800.0,1,2025,8,3,Sat,Sat,1,1,rookie
3636.0,reported,female,5,world tour,7,end stage,North America,United States,Rosemont,arena,22000.0,1,2025,9,3,Tue,Tue,0,1,rookie
5083.0,reported,female,5,world tour,7,end stage,North America,United States,Atlanta,arena,18000.0,1,2025,9,3,Fri,Fri,1,1,rookie
5886.0,reported,female,5,world tour,7,end stage,North America,United States,Fort Worth,arena,14000.0,1,2025,9,3,Sun,Sun,1,1,rookie
6336.0,reported,female,5,world tour,7,end stage,North America,United States,Oakland,arena,19596.0,1,2025,9,3,Wed,Wed,0,1,rookie
7085.0,reported,female,5,world tour,7,end stage,North America,United States,Seattle,arena,17200.0,1,2025,9,3,Fri,Fri,1,1,rookie
21125.0,reported,female,3,world tour,4,end stage,Asia,South Korea,Seoul,stadium,65599.0,2,2018,11,4,Sat,Sun,1,2,rookie
29241.0,reported,female,3,world tour,4,end stage,Asia,Thailand,Bangkok,arena,12000.0,3,2019,1,1,Fri,Sun,1,2,rookie
16260.0,reported,female,3,world tour,4,end stage,Asia,Indonesia,Tangerang,concert hall,,2,2019,1,1,Sat,Sun,1,2,rookie
9690.0,reported,female,3,world tour,4,end stage,Asia,Hong Kong,Hong Kong,arena,14000.0,1,2019,1,1,Sat,Sat,1,2,rookie
8469.0,reported,female,3,world tour,4,end stage,Asia,Philippines,Pasay,arena,15000.0,1,2019,2,1,Sat,Sat,1,2,rookie
8076.0,reported,female,3,world tour,4,end stage,Asia,Singapore,Singapore,arena,9000.0,1,2019,2,1,Fri,Fri,1,2,rookie
15504.0,reported,female,3,world tour,4,end stage,Asia,Malaysia,Kuala Lumpur,arena,13000.0,2,2019,2,1,Sat,Sun,1,2,rookie
8774.0,reported,female,3,world tour,4,end stage,Asia,Taiwan,Taoyuan,arena,15000.0,1,2019,3,1,Sun,Sun,1,2,rookie
12245.0,reported,female,3,world tour,4,end stage,North America,United States,Inglewood,arena,17500.0,1,2019,4,2,Wed,Wed,0,2,rookie
11417.0,reported,female,3,world tour,4,end stage,North America,United States,Rosemont,arena,22000.0,1,2019,4,2,Wed,Wed,0,2,rookie
10704.0,reported,female,3,world tour,4,end stage,North America,Canada,Hamilton,arena,18000.0,1,2019,4,2,Sat,Sat,1,2,rookie
22944.0,reported,female,3,world tour,4,end stage,North America,United States,Newark,arena,17000.0,2,2019,5,2,Wed,Thu,0,2,rookie
9180.0,reported,female,3,world tour,4,end stage,North America,United States,Duluth,arena,13100.0,1,2019,5,2,Sun,Sun,1,2,rookie
9107.0,reported,female,3,world tour,4,end stage,North America,United States,Fort Worth,arena,13500.0,1,2019,5,2,Wed,Wed,0,2,rookie
,unreported,female,3,world tour,4,end stage,North America,United States,Fort Worth,arena,13500.0,1,2019,5,2,Wed,Wed,0,2,rookie
5272.0,reported,female,3,world tour,4,end stage,Europe,Netherlands,Amsterdam,concert hall,6000.0,1,2019,5,2,Sat,Sat,1,2,rookie
5424.0,reported,female,3,world tour,4,end stage,Europe,England,Manchester,arena,21000.0,1,2019,5,2,Tue,Tue,0,2,rookie
9968.0,reported,female,3,world tour,4,end stage,Europe,England,London,arena,12500.0,1,2019,5,2,Wed,Wed,0,2,rookie
7722.0,reported,female,3,world tour,4,end stage,Europe,Germany,Berlin,arena,12000.0,1,2019,5,2,Fri,Fri,1,2,rookie
6224.0,reported,female,3,world tour,4,end stage,Europe,France,Paris,arena,9000.0,1,2019,5,2,Sun,Sun,1,2,rookie
8344.0,reported,female,3,world tour,4,end stage,Europe,Spain,Barcelona,arena,17960.0,1,2019,5,2,Tue,Tue,0,2,rookie
10081.0,reported,female,3,world tour,4,end stage,Asia,Macau,Macau,arena,14000.0,1,2019,6,2,Sat,Sat,1,2,rookie
12173.0,reported,female,3,world tour,4,end stage,Oceania,Australia,Melbourne,arena,14820.0,1,2019,6,2,Thu,Thu,0,2,rookie
14317.0,reported,female,3,world tour,4,end stage,Oceania,Australia,Sydney,arena,18000.0,1,2019,6,2,Sat,Sat,1,2,rookie
28776.0,reported,female,3,world tour,4,end stage,Asia,Thailand,Bangkok,arena,12000.0,3,2019,7,3,Fri,Sun,1,2,rookie
50369.0,reported,female,3,world tour,4,end stage,Asia,Japan,Tokyo,stadium,55000.0,1,2019,12,4,Wed,Wed,0,3,growing
81931.0,reported,female,3,world tour,4,end stage,Asia,Japan,Osaka,stadium,55000.0,2,2020,1,1,Sat,Sun,1,3,growing
38846.0,reported,female,3,world tour,4,end stage,Asia,Japan,Fukuoka,stadium,47500.0,1,2020,2,1,Sat,Sat,1,3,growing
20060.0,reported,female,3,world tour,4,end stage,Asia,South Korea,Seoul,arena,15000.0,2,2022,10,4,Sat,Sun,1,6,established
23528.0,reported,female,3,world tour,4,end stage,North America,United States,Dallas,arena,21000.0,2,2022,10,4,Tue,Wed,0,6,established
23480.0,reported,female,3,world tour,4,end stage,North America,United States,Houston,arena,19000.0,2,2022,10,4,Sat,Sun,1,6,established
23434.0,reported,female,3,world tour,4,end stage,North America,United States,Atlanta,arena,18000.0,2,2022,11,4,Wed,Thu,0,6,established
23990.0,reported,female,3,world tour,4,end stage,North America,Canada,Hamilton,arena,18000.0,2,2022,11,4,Sun,Mon,1,6,established
25582.0,reported,female,3,world tour,4,end stage,North America,United States,Chicago,arena,23500.0,2,2022,11,4,Thu,Fri,0,6,established
23928.0,reported,female,3,world tour,4,end stage,North America,United States,Newark,arena,17000.0,2,2022,11,4,Mon,Tue,0,6,established
46295.0,reported,female,3,world tour,4,end stage,North America,United States,Los Angeles,stadium,22000.0,2,2022,11,4,Sat,Sun,1,6,established
35440.0,reported,female,3,world tour,4,end stage,Europe,England,London,arena,20000.0,2,2022,11,4,Wed,Thu,0,6,established
17208.0,reported,female,3,world tour,4,end stage,Europe,Spain,Barcelona,arena,17960.0,1,2022,12,4,Mon,Mon,0,6,established
15899.0,reported,female,3,world tour,4,end stage,Europe,Germany,Cologne,arena,20000.0,1,2022,12,4,Thu,Thu,0,6,established
30731.0,reported,female,3,world tour,4,end stage,Europe,France,Paris,arena,20300.0,2,2022,12,4,Sun,Mon,1,6,established
15525.0,reported,female,3,world tour,4,end stage,Europe,Denmark,Copenhagen,arena,17000.0,1,2022,12,4,Thu,Thu,0,6,established
26638.0,reported,female,3,world tour,4,end stage,Europe,Germany,Berlin,arena,17000.0,2,2022,12,4,Mon,Tue,0,6,established
14641.0,reported,female,3,world tour,4,end stage,Europe,Netherlands,Amsterdam,arena,17000.0,1,2022,12,4,Thu,Thu,0,6,established
66211.0,reported,female,3,world tour,4,end stage,Asia,Thailand,Bangkok,stadium,35000.0,2,2023,1,1,Sat,Sun,1,6,established
32312.0,reported,female,3,world tour,4,end stage,Asia,Hong Kong,Hong Kong,arena,14000.0,3,2023,1,1,Fri,Sun,1,6,established
26578.0,reported,female,3,world tour,4,end stage,Middle East,Saudi Arabia,Riyadh,concert hall,,1,2023,1,1,Fri,Fri,1,6,established
22209.0,reported,female,3,world tour,4,end stage,Middle East,United Arab Emirates,Abu Dhabi,amphitheater,40000.0,1,2023,1,1,Sat,Sat,1,6,established
62642.0,reported,female,3,world tour,4,end stage,Asia,Malaysia,Kuala Lumpur,stadium,90000.0,1,2023,3,1,Sat,Sat,1,6,established
