attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights
11385.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
4701.0,reported,Bill Graham Civic Auditorium,arena,8500.0,North America,United States,San Francisco,1
12335.0,reported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1
7540.0,reported,Michelob Ultra Arena,arena,12000.0,North America,United States,Las Vegas,1
13189.0,reported,Arena CDMX,arena,22300.0,North America,Mexico,Mexico City,1
73236.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
10474.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
,unreported,Inspire Arena,arena,15000.0,Asia,South Korea,Incheon,2
,unreported,Osaka-jo Hall,arena,16000.0,Asia,Japan,Osaka,2
,unreported,Yokohama Arena,arena,17000.0,Asia,Japan,Yokohama,3
,unreported,Ecopa Arena,arena,10000.0,Asia,Japan,Shizuoka,2
,unreported,Sekisui Heim Super Arena,arena,7063.0,Asia,Japan,Miyagi,2
,unreported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2
,unreported,Crypto.com Arena,stadium,20000.0,North America,United States,Los Angeles,1
,unreported,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1
,unreported,SAP Center,arena,19190.0,North America,United States,San Jose,1
,unreported,Mortgage Matchup Center,arena,12565.0,North America,United States,Phoenix,1
,unreported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1
,unreported,Kia Center,arena,17030.0,North America,United States,Orlando,1
,unreported,United Center,arena,23500.0,North America,United States,Chicago,1
,unreported,Capital One Arena,arena,20356.0,North America,United States,Washington,1
,unreported,Prudential Center,arena,17000.0,North America,United States,Newark,1
,unreported,O2 Arena,arena,20000.0,Europe,England,London,1
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,1
,unreported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
,unreported,MOA Arena,arena,15000.0,Asia,Philippines,Pasay,2
67865.0,reported,Belluna Dome,stadium,31552.0,Asia,Japan,Saitama,2
79230.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
98449.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
11574.0,parcial,Inspire Arena,arena,15000.0,Asia,South Korea,Incheon,2
,unreported,Palacio Vistalegre,arena,14000.0,Europe,Spain,Madrid,1
,unreported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1
,unreported,Salle Pleyel,concert hall,2000.0,Europe,France,Paris,1
,unreported,Centennial Hall ,concert hall,4800.0,Europe,Germany,Frankfurt,1
,unreported,Eventim Apollo,concert hall,5039.0,Europe,England,London,1
,unreported,Great Canadian Toronto,concert hall,,North America,Canada,Toronto,1
,unreported,Brooklyn Paramount,theater,2700.0,North America,United States,New York,1
2808.0,parcial,The Theater at MGM National Harbor,theater,,North America,United States,Oxon Hill,1
3738.0,parcial,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1
3040.0,parcial,Paramount Theatre,concert hall,3040.0,North America,United States,Oakland,1
5428.0,parcial,YouTube Theater,theater,6000.0,North America,United States,Inglewood,1
,unreported,EmSphere,arena,6000.0,Asia,Thailand,Bangkok,1
,unreported,The Star Performing Arts Centre,concert hall,5000.0,Asia,Singapore,Singapore,1
,unreported,Kaohsiung Arena,arena,15000.0,Asia,Taiwan,Kaohsiung,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
,unreported,Keio Arena Tokyo,arena,10000.0,Asia,Japan,Tokyo,2
23622.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
8044.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
8594.0,reported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
8514.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
11827.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
7942.0,reported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1
10297.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1
5911.0,reported,Wintrust Arena,arena,10387.0,North America,United States,Chicago,1
8113.0,reported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1
8753.0,reported,Makomanai Ice Arena,arena,10024.0,Asia,Japan,Sapporo,1
42158.0,reported,Makuhari Messe,arena,,Asia,Japan,Chiba,3
23860.0,reported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2
12866.0,reported,Sekisui Heim Super Arena,arena,7063.0,Asia,Japan,Miyagi,2
18000.0,reported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,3
23646.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2
20000.0,reported,Ecopa Arena,arena,10000.0,Asia,Japan,Shizuoka,2
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
,unreported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
,unreported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,1
8874.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
25507.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,2
12891.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
10357.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1
11596.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1
26768.0,reported,UBS Arena,arena,19000.0,North America,United States,New York,2
146961.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,3
46710.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2
24178.0,reported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2
34704.0,reported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,3
16329.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
22919.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2
22581.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2
102239.0,reported,Nagai Stadium,stadium,47853.0,Asia,Japan,Osaka,2
108131.0,reported,Ajinomoto Stadium,stadium,49970.0,Asia,Japan,Tokyo,2
48345.0,reported,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,1
23703.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,2
18023.0,reported,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1
24925.0,reported,Globe Life Field,stadium,40300.0,North America,United States,Arlington,1
19605.0,reported,Toyota Center,arena,19000.0,North America,United States,Houston,2
22263.0,reported,United Center,arena,23500.0,North America,United States,Chicago,2
27648.0,reported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,2
47907.0,reported,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,1
28568.0,reported,Truist Park,stadium,41108.0,North America,United States,Atlanta,1
18258.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,2
28148.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2
13523.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,1
22099.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2
21123.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2
86930.0,reported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2
24636.0,reported,Marvel Stadium,stadium,56347.0,Oceania,Australia,Melbourne,1
76543.0,reported,Vantelin Dome,stadium,36418.0,Asia,Japan,Nagoya,2
21964.0,reported,International Stadium,arena,82000.0,Asia,Indonesia,Jakarta,1
81709.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,2
114049.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,2
65984.0,reported,Allianz Parque,stadium,55000.0,South America,Brazil,São Paulo,2
39880.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,1
102093.0,reported,Nagai Stadium,stadium,47853.0,Asia,Japan,Osaka,2
112289.0,reported,Ajinomoto Stadium,stadium,49970.0,Asia,Japan,Tokyo,2
137866.0,reported,Nissan Stadium,stadium,72327.0,Asia,Japan,Yokohama,2
24422.0,reported,Inspire Arena,arena,15000.0,Asia,South Korea,Incheon,2
94657.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
96391.0,reported,Vantelin Dome,stadium,36418.0,Asia,Japan,Nagoya,2
90795.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,2
107584.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
27390.0,reported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,2
,unreported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,1
22727.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,2
,unreported,Malaysia National Hockey Stadium,stadium,20000.0,Asia,Malaysia,Kuala Lumpur,1
29572.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2
27368.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2
,unreported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2
,unreported,Kai Tak Stadium,stadium,45995.0,Asia,Hong Kong,Hong Kong,2
25919.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2
,unreported,Rogers Arena,arena,19000.0,North America,Canada,Vancouver,2
28096.0,reported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,2
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,2
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,4
14272.0,reported,Mortgage Matchup Center,arena,12565.0,North America,United States,Phoenix,1
28797.0,reported,American Airlines Center,arena,21000.0,North America,United States,Dallas,2
31339.0,reported,Capital One Arena,arena,20356.0,North America,United States,Washington,2
42776.0,reported,UBS Arena,arena,19000.0,North America,United States,New York,3
,unreported,Xfinity Mobile Arena,arena,21000.0,North America,United States,Philadelphia,1
15084.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1
19334.0,reported,Bell Center,arena,15000.0,North America,Canada,Montreal,1
30146.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,2
,unreported,Taipei Dome,stadium,59833.0,Asia,Taiwan,Taipei,3
31835.0,unreported,Kia Center,arena,17030.0,North America,United States,Orlando,2
16500.0,reported,Spectrum Center,arena,18504.0,North America,United States,Charlotte,1
29310.0,reported,TD Garden,arena,20000.0,North America,United States,Boston,2
,unreported,United Center,arena,23500.0,North America,United States,Chicago,2
,unreported,Little Caesars Arena,arena,22000.0,North America,United States,Detroit,1
,unreported,Grand Casino Arena,arena,20554.0,North America,United States,Saint Paul,1
,unreported,Ball Arena,arena,21000.0,North America,United States,Denver,1
26359.0,reported,Moody Center,arena,16223.0,North America,United States,Austin,2
,unreported,Japan National Stadium,stadium,67750.0,Asia,Japan,Tokyo,3
,unreported,MEO Arena,arena,20100.0,Europe,Portugal,Lisbon,1
,unreported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,2
,unreported,Inalpi Arena,arena,15657.0,Europe,Italy,Turin,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1
,unreported,Lanxess Arena,arena,20000.0,Europe,Germany,Cologne,1
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,2
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,2
1729.0,reported,MCC Hall,concert hall,,Asia,Thailand,Bangkok,1
8100.0,reported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,1
20794.0,reported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,2
19222.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2
14923.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
7411.0,reported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1
5589.0,reported,Nangang Exhibition Center,concert hall,,Asia,Taiwan,Taipei,1
18301.0,reported,Glion Arena Kobe,arena,10000.0,Asia,Japan,Kobe,2
4402.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
54318.0,reported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,2
29414.0,reported,UBS Arena,arena,19000.0,North America,United States,New York,2
13286.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1
36652.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,3
42492.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,3
27149.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,2
27746.0,reported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,3
26809.0,reported,Pia Arena MM,arena,12141.0,Asia,Japan,Yokohama,3
36107.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3
27340.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,3
14715.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
38523.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,3
9312.0,reported,Olympic Hall,concert hall,2452.0,Asia,South Korea,Seoul,3
9312.0,reported,Wintrust Arena,arena,10387.0,North America,United States,Chicago,1
7764.0,reported,Gas South Arena,arena,13100.0,North America,United States,Duluth,1
11148.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1
6269.0,reported,Texas Trust CU Theatre,concert hall,6350.0,North America,United States,Grand Prairie,1
19868.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,2
14052.0,reported,Palacio Vistalegre,arena,14000.0,Europe,Spain,Madrid,2
18633.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,2
12224.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,1
20843.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2
4904.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1
28635.0,reported,Pia Arena MM,arena,12141.0,Asia,Japan,Yokohama,3
10191.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
7940.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
23396.0,reported,Honda Center,theater,10935.0,North America,United States,Anaheim,2
9129.0,reported,Desert Diamond Arena,arena,19000.0,North America,United States,Glendale,1
11023.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1
6421.0,reported,Wintrust Arena,arena,10387.0,North America,United States,Chicago,1
21489.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,2
21559.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2
10971.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1
28921.0,reported,Makuhari Messe,arena,,Asia,Japan,Chiba,2
11343.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2
10174.0,reported,ING Arena,arena,15000.0,Europe,Belgium,Brussels,1
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1
9172.0,reported,Movistar Arena,arena,15000.0,Europe,Spain,Madrid,1
9041.0,reported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1
19120.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,2
10093.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
22271.0,reported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,2
12000.0,reported,World Memorial Hall,arena,8000.0,Asia,Japan,Kobe,2
,unreported,Nangang Exhibition Center,concert hall,,Asia,Taiwan,Taipei,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
,unreported,Jeddah Superdome,concert hall,40000.0,Middle East,Saudi Arabia,Jeddah,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
17129.0,reported,Arena CDMX,arena,22300.0,North America,Mexico,Mexico City,1
,unreported,Allianz Parque,stadium,55000.0,South America,Brazil,São Paulo,1
13665.0,reported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1
,unreported,Coliseo Bicentenario,arena,7000.0,South America,Colombia,Bogotá,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
,unreported,Smart Araneta Coliseum,arena,9679.0,Asia,Philippines,Manila,1
12847.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
45200.0,reported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,2
13661.0,reported,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1
11001.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
38145.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2
10763.0,reported,Mortgage Matchup Center,arena,12565.0,North America,United States,Phoenix,1
27938.0,reported,Globe Life Field,stadium,40300.0,North America,United States,Arlington,1
18865.0,reported,Gas South Arena,arena,13100.0,North America,United States,Duluth,2
28467.0,reported,Citi Field,stadium,41922.0,North America,United States,New York,1
12766.0,reported,Capital One Arena,arena,20356.0,North America,United States,Washington,1
10322.0,reported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1
20286.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,2
10894.0,reported,LDLC Arena,arena,16000.0,Europe,France,Lyon,1
9514.0,reported,Unipol Forum,arena,15800.0,Europe,Italy,Milan,1
9607.0,reported,Hallenstadion,arena,13000.0,Europe,Switzerland,Zürich,1
22129.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2
11836.0,reported,AO Arena,arena,21000.0,Europe,England,Manchester,1
13663.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
13765.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1
14156.0,reported,Lanxess Arena,arena,20000.0,Europe,Germany,Cologne,1
11862.0,reported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1
24479.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2
29225.0,reported,La Défense Arena,arena,45000.0,Europe,France,Paris,1
9809.0,reported,ING Arena,arena,15000.0,Europe,Belgium,Brussels,1
23280.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
,unreported,Inspire Arena,arena,15000.0,Asia,South Korea,Incheon,2
10144.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1
24694.0,reported,Citi Field,stadium,41922.0,North America,United States,New York,1
9502.0,reported,CFG Bank Arena,arena,13000.0,North America,United States,Baltimore,1
8558.0,reported,Bridgestone Arena,arena,20000.0,North America,United States,Nashville,1
19877.0,reported,Kia Center,arena,17030.0,North America,United States,Orlando,2
20186.0,reported,Wrigley Field,stadium,41649.0,North America,United States,Chicago,1
12623.0,reported,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1
10591.0,reported,SAP Center,arena,19190.0,North America,United States,San Jose,1
36631.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2
8666.0,reported,Desert Diamond Arena,arena,19000.0,North America,United States,Glendale,1
29845.0,reported,Globe Life Field,stadium,40300.0,North America,United States,Arlington,1
28134.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,1
,unreported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,3
,unreported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,2
,unreported,Glion Arena Kobe,arena,10000.0,Asia,Japan,Kobe,2
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
,unreported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2
,unreported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2
,unreported,Smart Araneta Coliseum,arena,9679.0,Asia,Philippines,Manila,1
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1
,unreported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
11552.0,reported,Inspire Arena,arena,15000.0,Asia,South Korea,Incheon,2
2243.0,reported,Tachikawa Stage Garden,concert hall,2448.0,Asia,Japan,Tokyo,1
2099.0,reported,Niterra Forest Hall,concert hall,,Asia,Japan,Nagoya,1
7458.0,reported,Grand Cube Osaka,concert hall,,Asia,Japan,Osaka,2
2056.0,reported,Sendai Sun Plaza Hall,concert hall,2710.0,Asia,Japan,Sendai,1
4384.0,reported,Fukuoka Sunpalace Hotel Hall,concert hall,2316.0,Asia,Japan,Fukuoka,2
16479.0,reported,Pacifico Yokohama,concert hall,6000.0,Asia,Japan,Yokohama,3
3869.0,reported,Singapore Expo,concert hall,,Asia,Singapore,Tampines,1
3109.0,reported,Smart Araneta Coliseum,arena,9679.0,Asia,Philippines,Manila,1
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,1
4472.0,reported,Nangang Exhibition Center,concert hall,,Asia,Taiwan,Taipei,1
4917.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
3931.0,reported,Istora Senayan,arena,7166.0,Asia,Indonesia,Jakarta,1
27000.0,reported,Keio Arena Tokyo,arena,10000.0,Asia,Japan,Tokyo,3
31280.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,3
,unreported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2
,unreported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,2
15327.0,reported,Vibra São Paulo,theater,7000.0,South America,Brazil,São Paulo,2
22612.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2
,unreported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1
,unreported,Honda Center,theater,10935.0,North America,United States,Anaheim,2
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,2
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
11023.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,3
,unreported,Hiroshima Green Arena,arena,10000.0,Asia,Japan,Hiroshima,1
,unreported,Nippon Gaishi Hall,arena,10000.0,Asia,Japan,Nagoya,2
,unreported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,3
,unreported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2
,unreported,Makomanai Ice Arena,arena,10024.0,Asia,Japan,Sapporo,2
,unreported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2
,unreported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,1
,unreported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,3
85366.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,2
56220.0,reported,Crypto.com Arena,stadium,20000.0,North America,United States,Los Angeles,4
10743.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
17452.0,reported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,2
35574.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,3
25236.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2
27880.0,reported,United Center,arena,23500.0,North America,United States,Chicago,2
34327.0,reported,Citi Field,stadium,41922.0,North America,United States,New York,1
31475.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2
13893.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
24384.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2
28149.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,2
95939.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
109679.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,3
50144.0,reported,Rakuten Taoyuan Baseball Stadium,stadium,18000.0,Asia,Taiwan,Taoyuan,2
79621.0,reported,Vantelin Dome,stadium,36418.0,Asia,Japan,Nagoya,2
39946.0,reported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,1
72801.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,2
46630.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,4
68900.0,reported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,2
113040.0,reported,Rose Bowl,concert hall,,North America,United States,Pasadena,2
98574.0,reported,Soldier Field,stadium,62500.0,North America,United States,Chicago,2
98574.0,reported,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,2
84728.0,reported,Allianz Parque,stadium,55000.0,South America,Brazil,São Paulo,2
114583.0,reported,Wembley Stadium,stadium,90000.0,Europe,England,London,2
107328.0,reported,Stade de France,stadium,81338.0,Europe,France,Paris,2
101554.0,reported,Nagai Stadium,stadium,47853.0,Asia,Japan,Osaka,2
107153.0,reported,Shizuoka Stadium ECOPA,stadium,50889.0,Asia,Japan,Shizuoka,2
31899.0,reported,King Fahd Sports City Stadium,stadium,58398.0,Middle East,Saudi Arabia,Riyadh,1
129268.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,3
106294.0,reported,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,2
107458.0,reported,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,2
44696.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,3
99277.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,2
100420.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,2
127218.0,reported,Goyang Stadium,stadium,41311.0,Asia,South Korea,Goyang,3
96178.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
194335.0,reported,Raymond James Stadium,stadium,69218.0,North America,United States,Tampa,3
97722.0,reported,Sun Bowl,stadium,45971.0,North America,United States,El Paso,2
145763.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,3
170721.0,parcial,Stanford Stadium,stadium,50424.0,North America,United States,Stanford,3
241820.0,parcial,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,4
,unreported,Estadio Metropolitano,stadium,60000.0,Europe,Spain,Madrid,2
,unreported,King Baudouin Stadium,stadium,50093.0,Europe,Belgium,Brussels,2
,unreported,Tottenham Hotspur Stadium,stadium,62850.0,Europe,England,London,2
,unreported,Allianz Arena,stadium,70000.0,Europe,Germany,Munich,2
,unreported,Stade de France,stadium,81338.0,Europe,France,Paris,2
162194.0,parcial,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,2
138276.0,parcial,Gillette Stadium,stadium,64628.0,North America,United States,Foxborough,2
