attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
,unreported,Avicii Arena,arena,16000.0,Europe,Sweden,Stockholm,1
,unreported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1
,unreported,Unipol Dome,arena,16000.0,Europe,Italy,Milan,1
,unreported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,1
16706.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
,unreported,Prudential Center,arena,17000.0,North America,United States,Newark,1
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
24918.0,reported,Pia Arena MM,arena,12141.0,Asia,Japan,Yokohama,3
,unreported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,2
,unreported,Asue Arena,arena,16000.0,Asia,Japan,Osaka,2
40936.0,reported,K-Arena Yokohama,arena,20000.0,Asia,Japan,Yokohama,3
,unreported,Fukuoka Kokusai Center,arena,10000.0,Asia,Japan,Fukuoka,2
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
,unreported,Saigon Exhibition and Convention Center,concert hall,2000.0,Asia,Vietnam,Ho Chi Minh City,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2
,unreported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1
3636.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1
5083.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1
5886.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1
6336.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
7085.0,reported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1
21125.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,2
29241.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3
16260.0,reported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,2
9690.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
8469.0,reported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
8076.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
15504.0,reported,Malawati Indoor Stadium,arena,13000.0,Asia,Malaysia,Kuala Lumpur,2
8774.0,reported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1
12245.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
11417.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1
10704.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1
22944.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2
9180.0,reported,Gas South Arena,arena,13100.0,North America,United States,Duluth,1
9107.0,reported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1
,unreported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1
5272.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1
5424.0,reported,AO Arena,arena,21000.0,Europe,England,Manchester,1
9968.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,1
7722.0,reported,Max-Schemeling-Halle,arena,12000.0,Europe,Germany,Berlin,1
6224.0,reported,Zénith,arena,9000.0,Europe,France,Paris,1
8344.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1
10081.0,reported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,1
12173.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1
14317.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1
28776.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3
50369.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,1
81931.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
38846.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,1
20060.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
23528.0,reported,American Airlines Center,arena,21000.0,North America,United States,Dallas,2
23480.0,reported,Toyota Center,arena,19000.0,North America,United States,Houston,2
23434.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,2
23990.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,2
25582.0,reported,United Center,arena,23500.0,North America,United States,Chicago,2
23928.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2
46295.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2
35440.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2
17208.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1
15899.0,reported,Lanxess Arena,arena,20000.0,Europe,Germany,Cologne,1
30731.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,2
15525.0,reported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1
26638.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2
14641.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
66211.0,reported,Suphachalasai Stadium,stadium,35000.0,Asia,Thailand,Bangkok,2
32312.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3
26578.0,reported,Boulevard City,concert hall,,Middle East,Saudi Arabia,Riyadh,1
22209.0,reported,Etihad Park,amphitheater,40000.0,Middle East,United Arab Emirates,Abu Dhabi,1
62642.0,reported,Bukit Jalil Stadium,stadium,90000.0,Asia,Malaysia,Kuala Lumpur,1
113740.0,reported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2
101096.0,reported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2
92720.0,reported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2
100809.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
113498.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,2
97977.0,reported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,2
23267.0,reported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2
81108.0,reported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,2
81996.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
23145.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2
25926.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2
,unreported,,,,Oceania,New Zealand,Auckland,1
52781.0,reported,Stade de France,stadium,81338.0,Europe,France,Paris,1
67443.0,reported,Mỹ Đình National Stadium,stadium,50000.0,Asia,Vietnam,Hanoi,2
96570.0,reported,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,2
44171.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,1
38390.0,reported,Oracle Park,stadium,45000.0,North America,United States,San Francisco,1
48824.0,reported,Dodger Stadium,stadium,56000.0,North America,United States,Los Angeles,1
35391.0,reported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2
75340.0,parcial,Goyang Stadium,stadium,41311.0,Asia,South Korea,Goyang,2
89981.0,parcial,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,2
48915.0,parcial,Soldier Field,stadium,62500.0,North America,United States,Chicago,1
,unreported,Rogers Stadium,stadium,50000.0,North America,Canada,Toronto,2
73608.0,parcial,Citi Field,stadium,41922.0,North America,United States,New York,2
,unreported,Stade de France,stadium,81338.0,Europe,France,Paris,2
,unreported,Ippodromo La Maura,stadium,80000.0,Europe,Italy,Milan,1
,unreported,Estadi Olímpic Lluís Companys,stadium,55926.0,Europe,Spain,Barcelona,1
,unreported,Wembley Stadium,stadium,90000.0,Europe,England,London,2
,unreported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2
,unreported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,3
,unreported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2
,unreported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2
,unreported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,3
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,3
,unreported,Kai Tak Stadium,stadium,45995.0,Asia,Hong Kong,Hong Kong,3
9869.0,missing,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,2
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
5244.0,reported,Bill Graham Civic Auditorium,arena,8500.0,North America,United States,San Francisco,1
6360.0,reported,Peacock Theater,arena,7100.0,North America,United States,Los Angeles,1
,unreported,Texas Trust CU Theatre,concert hall,6350.0,North America,United States,Grand Prairie,1
5175.0,reported,The Theater,theater,5600.0,North America,United States,New York,1
2732.0,unreported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1
4292.0,reported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1
9438.0,unreported,Wembley Arena,arena,12500.0,Europe,England,London,1
,unreported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1
8232.0,reported,Forest National,arena,8400.0,Europe,Belgium,Brussels,1
,unreported,Uber Eats Music Hall,concert hall,4500.0,Europe,Germany,Berlin,2
,unreported,Tachikawa Stage Garden,concert hall,2448.0,Asia,Japan,Tokyo,2
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
15425.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3
5322.0,parcial,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
