attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_England,2023,9,3,Thu,Thu,0
,unreported,Dôme,concert hall,4600.0,Europe,France,Paris,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_France,2023,9,3,Sat,Sat,1
12600.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_South Korea,2024,6,2,Sat,Sun,1
10293.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,1,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Japan,2024,7,3,Sat,Sat,1
15997.0,reported,Aichi Sky Expo,concert hall,10000.0,Asia,Japan,Nagoya,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Japan,2024,7,3,Wed,Thu,0
38281.0,reported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Japan,2024,7,3,Sun,Mon,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Singapore,2024,7,3,Sat,Sat,1
25872.0,reported,Asue Arena,arena,16000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Japan,2024,7,3,Sat,Sun,1
12155.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Japan,2024,7,3,Tue,Wed,0
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Hong Kong,2024,8,3,Sat,Sun,1
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,3,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Taiwan,2024,8,3,Fri,Sun,1
93639.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Japan,2024,8,3,Sat,Sun,1
,unreported,Beach City International Stadium,arena,15000.0,Asia,Indonesia,Jakarta,1,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Indonesia,2024,8,3,Sat,Sat,1
20053.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Australia,2024,8,3,Fri,Sat,1
10783.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Australia,2024,9,3,Mon,Mon,0
,unreported,Studio City,concert hall,,Asia,Macau,Macau,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Macau,2024,9,3,Sat,Sun,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2,aespa,female,4,4,"SM,KAKAO",3,growing,aespa_Thailand,2024,9,3,Sat,Sun,1
5134.0,reported,accesso ShoWare Center,arena,7141.0,North America,United States,Kent,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,1,1,Tue,Tue,0
