attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend
30731.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_France,2022,12,4,Sun,Mon,1
15525.0,reported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Denmark,2022,12,4,Thu,Thu,0
26638.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Germany,2022,12,4,Mon,Tue,0
14641.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Netherlands,2022,12,4,Thu,Thu,0
66211.0,reported,Suphachalasai Stadium,stadium,35000.0,Asia,Thailand,Bangkok,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Thailand,2023,1,1,Sat,Sun,1
32312.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Hong Kong,2023,1,1,Fri,Sun,1
26578.0,reported,Boulevard City,concert hall,,Middle East,Saudi Arabia,Riyadh,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Saudi Arabia,2023,1,1,Fri,Fri,1
22209.0,reported,Etihad Park,amphitheater,40000.0,Middle East,United Arab Emirates,Abu Dhabi,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United Arab Emirates,2023,1,1,Sat,Sat,1
62642.0,reported,Bukit Jalil Stadium,stadium,90000.0,Asia,Malaysia,Kuala Lumpur,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Malaysia,2023,3,1,Sat,Sat,1
113740.0,reported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Indonesia,2023,3,1,Sat,Sun,1
101096.0,reported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Taiwan,2023,3,1,Sat,Sun,1
92720.0,reported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Philippines,2023,3,1,Sat,Sun,1
100809.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Japan,2023,4,2,Sat,Sun,1
113498.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Mexico,2023,4,2,Wed,Thu,0
97977.0,reported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Singapore,2023,5,2,Sat,Sun,1
23267.0,reported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Macau,2023,5,2,Sat,Sun,1
81108.0,reported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Thailand,2023,5,2,Sat,Sun,1
81996.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Japan,2023,6,2,Sat,Sun,1
23145.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Australia,2023,6,2,Sat,Sun,1
25926.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Australia,2023,6,2,Fri,Sat,1
,unreported,,,,Oceania,New Zealand,Auckland,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_New Zealand,2023,6,2,Wed,Wed,0
52781.0,reported,Stade de France,stadium,81338.0,Europe,France,Paris,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_France,2023,7,3,Sat,Sat,1
67443.0,reported,Mỹ Đình National Stadium,stadium,50000.0,Asia,Vietnam,Hanoi,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Vietnam,2023,7,3,Sat,Sun,1
96570.0,reported,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,2,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States,2023,8,3,Fri,Sat,1
44171.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,1,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States,2023,8,3,Fri,Fri,1
38390.0,reported,Oracle Park,stadium,45000.0,North America,United States,San Francisco,1,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States,2023,8,3,Tue,Tue,0
48824.0,reported,Dodger Stadium,stadium,56000.0,North America,United States,Los Angeles,1,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States,2023,8,3,Sat,Sat,1
35391.0,reported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_South Korea,2023,9,3,Sat,Sun,1
75340.0,parcial,Goyang Stadium,stadium,41311.0,Asia,South Korea,Goyang,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_South Korea,2025,7,3,Sat,Sun,1
89981.0,parcial,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_United States,2025,7,3,Sat,Sun,1
48915.0,parcial,Soldier Field,stadium,62500.0,North America,United States,Chicago,1,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_United States,2025,7,3,Fri,Fri,1
,unreported,Rogers Stadium,stadium,50000.0,North America,Canada,Toronto,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_Canada,2025,7,3,Tue,Wed,0
73608.0,parcial,Citi Field,stadium,41922.0,North America,United States,New York,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_United States,2025,7,3,Sat,Sun,1
,unreported,Stade de France,stadium,81338.0,Europe,France,Paris,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_France,2025,8,3,Sat,Sun,1
,unreported,Ippodromo La Maura,stadium,80000.0,Europe,Italy,Milan,1,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_Italy,2025,8,3,Wed,Wed,0
,unreported,Estadi Olímpic Lluís Companys,stadium,55926.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Spain,2025,8,3,Sat,Sat,1
,unreported,Wembley Stadium,stadium,90000.0,Europe,England,London,2,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_England,2025,8,3,Fri,Sat,1
,unreported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Taiwan,2025,10,4,Sat,Sun,1
,unreported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Thailand,2025,10,4,Fri,Sun,1
,unreported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Indonesia,2025,11,4,Sat,Sun,1
,unreported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Philippines,2025,11,4,Sat,Sun,1
,unreported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,3,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Singapore,2025,11,4,Fri,Sun,1
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,3,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Japan,2026,1,1,Fri,Sun,1
,unreported,Kai Tak Stadium,stadium,45995.0,Asia,Hong Kong,Hong Kong,3,BLACKPINK,female,3,4,YG,9,established,BLACKPINK_Hong Kong,2026,1,1,Sat,Mon,1
9869.0,missing,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2,i-dle,female,4,5,Cube,5,growing,i-dle_South Korea,2023,6,2,Sat,Sun,1
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,2,i-dle,female,4,5,Cube,5,growing,i-dle_Taiwan,2023,7,3,Sat,Sun,1
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,1,i-dle,female,4,5,Cube,5,growing,i-dle_Thailand,2023,7,3,Sat,Sat,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,i-dle,female,4,5,Cube,5,growing,i-dle_Hong Kong,2023,7,3,Sat,Sun,1
5244.0,reported,Bill Graham Civic Auditorium,arena,8500.0,North America,United States,San Francisco,1,i-dle,female,4,5,Cube,5,growing,i-dle_United States,2023,8,3,Fri,Fri,1
6360.0,reported,Peacock Theater,arena,7100.0,North America,United States,Los Angeles,1,i-dle,female,4,5,Cube,5,growing,i-dle_United States,2023,8,3,Sun,Sun,1
,unreported,Texas Trust CU Theatre,concert hall,6350.0,North America,United States,Grand Prairie,1,i-dle,female,4,5,Cube,5,growing,i-dle_United States,2023,8,3,Wed,Wed,0
5175.0,reported,The Theater,theater,5600.0,North America,United States,New York,1,i-dle,female,4,5,Cube,5,growing,i-dle_United States,2023,8,3,Sun,Sun,1
2732.0,unreported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1,i-dle,female,4,5,Cube,5,growing,i-dle_United States,2023,8,3,Tue,Tue,0
4292.0,reported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1,i-dle,female,4,5,Cube,5,growing,i-dle_United States,2023,8,3,Thu,Thu,0
9438.0,unreported,Wembley Arena,arena,12500.0,Europe,England,London,1,i-dle,female,4,5,Cube,5,growing,i-dle_England,2023,9,3,Sat,Sat,1
,unreported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,i-dle,female,4,5,Cube,5,growing,i-dle_Netherlands,2023,9,3,Mon,Mon,0
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1,i-dle,female,4,5,Cube,5,growing,i-dle_France,2023,9,3,Wed,Wed,0
8232.0,reported,Forest National,arena,8400.0,Europe,Belgium,Brussels,1,i-dle,female,4,5,Cube,5,growing,i-dle_Belgium,2023,9,3,Sat,Sat,1
,unreported,Uber Eats Music Hall,concert hall,4500.0,Europe,Germany,Berlin,2,i-dle,female,4,5,Cube,5,growing,i-dle_Germany,2023,9,3,Mon,Tue,0
,unreported,Tachikawa Stage Garden,concert hall,2448.0,Asia,Japan,Tokyo,2,i-dle,female,4,5,Cube,5,growing,i-dle_Japan,2023,9,3,Wed,Thu,0
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,i-dle,female,4,5,Cube,5,growing,i-dle_Macau,2023,10,4,Fri,Sat,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,i-dle,female,4,5,Cube,5,growing,i-dle_Singapore,2023,10,4,Sun,Sun,1
15425.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,i-dle,female,4,5,Cube,6,established,i-dle_South Korea,2024,8,3,Sat,Sun,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3,i-dle,female,4,5,Cube,6,established,i-dle_Hong Kong,2024,8,3,Fri,Sun,1
5322.0,parcial,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1,i-dle,female,4,5,Cube,6,established,i-dle_United States,2024,9,3,Fri,Fri,1
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,i-dle,female,4,5,Cube,6,established,i-dle_United States,2024,9,3,Sun,Sun,1
7177.0,parcial,Honda Center,theater,10935.0,North America,United States,Anaheim,1,i-dle,female,4,5,Cube,6,established,i-dle_United States,2024,9,3,Tue,Tue,0
,unreported,Toyota Center,arena,19000.0,North America,United States,Houston,1,i-dle,female,4,5,Cube,6,established,i-dle_United States,2024,9,3,Fri,Fri,1
7027.0,parcial,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,i-dle,female,4,5,Cube,6,established,i-dle_United States,2024,9,3,Sun,Sun,1
5475.0,parcial,UBS Arena,arena,19000.0,North America,United States,New York,1,i-dle,female,4,5,Cube,6,established,i-dle_United States,2024,9,3,Wed,Wed,0
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,3,i-dle,female,4,5,Cube,6,established,i-dle_Taiwan,2024,10,4,Fri,Sun,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1,i-dle,female,4,5,Cube,6,established,i-dle_Thailand,2024,10,4,Sat,Sat,1
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,3,i-dle,female,4,5,Cube,6,established,i-dle_Macau,2024,10,4,Fri,Sun,1
,unreported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1,i-dle,female,4,5,Cube,6,established,i-dle_Australia,2024,10,4,Thu,Thu,0
,unreported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1,i-dle,female,4,5,Cube,6,established,i-dle_Australia,2024,11,4,Sat,Sat,1
,unreported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,2,i-dle,female,4,5,Cube,8,established,i-dle_Japan,2026,8,3,Mon,Tue,0
5266.0,parcial,Handball Gymnasium,arena,6500.0,Asia,South Korea,Seoul,2,ITZY,female,4,5,JYP,3,growing,ITZY_South Korea,2022,8,3,Sat,Sun,1
,unreported,YouTube Theater,theater,6000.0,North America,United States,Inglewood,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,10,4,Wed,Wed,0
,unreported,Arizona Financial Theatre,theater,5000.0,North America,United States,Phoenix,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,10,4,Sat,Sat,1
,unreported,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,11,4,Tue,Tue,0
,unreported,Smart Financial Centre,concert hall,6400.0,North America,United States,Sugar Land,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,11,4,Thu,Thu,0
,unreported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,11,4,Sat,Sat,1
,unreported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,11,4,Mon,Mon,0
,unreported,MGM Music Hall,concert hall,5007.0,North America,United States,Boston,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,11,4,Thu,Thu,0
,unreported,The Theater,theater,5600.0,North America,United States,New York,1,ITZY,female,4,5,JYP,3,growing,ITZY_United States,2022,11,4,Sun,Sun,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,2,ITZY,female,4,5,JYP,3,growing,ITZY_Philippines,2023,1,1,Sat,Sun,1
,unreported,The Star Performing Arts Centre,concert hall,5000.0,Asia,Singapore,Singapore,1,ITZY,female,4,5,JYP,3,growing,ITZY_Singapore,2023,1,1,Sat,Sat,1
,unreported,Gelora Bung Karno Tennis Indoor Stadium,arena,3750.0,Asia,Indonesia,Jakarta,1,ITZY,female,4,5,JYP,3,growing,ITZY_Indonesia,2023,2,1,Sat,Sat,1
,unreported,Makuhari Messe,arena,,Asia,Japan,Chiba,2,ITZY,female,4,5,JYP,4,growing,ITZY_Japan,2023,2,1,Wed,Thu,0
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1,ITZY,female,4,5,JYP,4,growing,ITZY_Taiwan,2023,2,1,Sun,Sun,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,ITZY,female,4,5,JYP,4,growing,ITZY_Hong Kong,2023,3,1,Sat,Sun,1
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,1,ITZY,female,4,5,JYP,4,growing,ITZY_Thailand,2023,4,2,Sat,Sat,1
7406.0,missing,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2,ITZY,female,4,5,JYP,5,growing,ITZY_South Korea,2024,2,1,Sat,Sun,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1,ITZY,female,4,5,JYP,5,growing,ITZY_Thailand,2024,3,1,Sat,Sat,1
5108.0,reported,Spark Arena,arena,13280.0,Oceania,New Zealand,Auckland,1,ITZY,female,4,5,JYP,5,growing,ITZY_New Zealand,2024,3,1,Thu,Thu,0
,unreported,ICC Sydney Theatre,concert hall,2500.0,Oceania,Australia,Sydney,1,ITZY,female,4,5,JYP,5,growing,ITZY_Australia,2024,3,1,Sun,Sun,1
,unreported,Margaret Court Arena,arena,7500.0,Oceania,Australia,Melbourne,1,ITZY,female,4,5,JYP,5,growing,ITZY_Australia,2024,3,1,Tue,Tue,0
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,ITZY,female,4,5,JYP,5,growing,ITZY_Singapore,2024,4,2,Sat,Sat,1
5639.0,reported,Pepsi Center WTC,theater,7500.0,North America,Mexico,Mexico City,1,ITZY,female,4,5,JYP,5,growing,ITZY_Mexico,2024,4,2,Mon,Mon,0
13101.0,reported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1,ITZY,female,4,5,JYP,5,growing,ITZY_Chile,2024,4,2,Thu,Thu,0
,unreported,Wembley Arena,arena,12500.0,Europe,England,London,1,ITZY,female,4,5,JYP,5,growing,ITZY_England,2024,4,2,Wed,Wed,0
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1,ITZY,female,4,5,JYP,5,growing,ITZY_France,2024,4,2,Fri,Fri,1
,unreported,Velodrom,arena,12000.0,Europe,Germany,Berlin,1,ITZY,female,4,5,JYP,5,growing,ITZY_Germany,2024,4,2,Sun,Sun,1
,unreported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,ITZY,female,4,5,JYP,5,growing,ITZY_Netherlands,2024,5,2,Wed,Wed,0
,unreported,Palacio Vistalegre,arena,14000.0,Europe,Spain,Madrid,1,ITZY,female,4,5,JYP,5,growing,ITZY_Spain,2024,5,2,Sat,Sat,1
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,3,ITZY,female,4,5,JYP,5,growing,ITZY_Japan,2024,5,2,Fri,Sun,1
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,1,ITZY,female,4,5,JYP,5,growing,ITZY_Japan,2024,5,2,Wed,Wed,0
,unreported,WaMu Theater,concert hall,7000.0,North America,United States,Seattle,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Thu,Thu,0
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Sat,Sat,1
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Tue,Tue,0
,unreported,Smart Financial Centre,concert hall,6400.0,North America,United States,Sugar Land,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Fri,Fri,1
,unreported,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Sun,Sun,1
4098.0,reported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Tue,Tue,0
6688.0,reported,EagleBank Arena,arena,15000.0,North America,United States,Fairfax,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Thu,Thu,0
8040.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Sun,Sun,1
,unreported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1,ITZY,female,4,5,JYP,5,growing,ITZY_United States,2024,6,2,Wed,Wed,0
,unreported,Great Canadian Casino Resort,concert hall,,North America,Canada,Toronto,2,ITZY,female,4,5,JYP,5,growing,ITZY_Canada,2024,6,2,Fri,Sat,1
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,1,ITZY,female,4,5,JYP,5,growing,ITZY_Taiwan,2024,7,3,Sat,Sat,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1,ITZY,female,4,5,JYP,5,growing,ITZY_Philippines,2024,8,3,Sat,Sat,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1,ITZY,female,4,5,JYP,5,growing,ITZY_Hong Kong,2024,8,3,Sat,Sat,1
12334.0,parcial,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,3,ITZY,female,4,5,JYP,7,established,ITZY_South Korea,2026,2,1,Fri,Sun,1
,unreported,John Cain Arena,arena,10300.0,Oceania,Australia,Melbourne,1,ITZY,female,4,5,JYP,7,established,ITZY_Australia,2026,4,2,Fri,Fri,1
,unreported,ICC Sydney Theatre,concert hall,2500.0,Oceania,Australia,Sydney,1,ITZY,female,4,5,JYP,7,established,ITZY_Australia,2026,4,2,Sun,Sun,1
,unreported,Spark Arena,arena,13280.0,Oceania,New Zealand,Auckland,1,ITZY,female,4,5,JYP,7,established,ITZY_New Zealand,2026,4,2,Wed,Wed,0
,unreported,Keio Arena Tokyo,arena,10000.0,Asia,Japan,Tokyo,2,ITZY,female,4,5,JYP,7,established,ITZY_Japan,2026,5,2,Sat,Sun,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1,ITZY,female,4,5,JYP,7,established,ITZY_Hong Kong,2026,6,2,Sat,Sat,1
,unreported,Kaohsiung Arena,arena,15000.0,Asia,Taiwan,Kaohsiung,1,ITZY,female,4,5,JYP,7,established,ITZY_Taiwan,2026,6,2,Sat,Sat,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1,ITZY,female,4,5,JYP,7,established,ITZY_Thailand,2026,7,3,Sat,Sat,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1,ITZY,female,4,5,JYP,7,established,ITZY_Philippines,2026,7,3,Sat,Sat,1
9989.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2,IVE,female,4,6,"Starship,KAKAO",1,rookie,IVE_South Korea,2023,10,4,Sat,Sun,1
24387.0,reported,K-Arena Yokohama,arena,20000.0,Asia,Japan,Yokohama,2,IVE,female,4,6,"Starship,KAKAO",1,rookie,IVE_Japan,2023,11,4,Wed,Thu,0
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Thailand,2024,1,1,Sat,Sat,1
18851.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Japan,2024,1,1,Wed,Thu,0
20748.0,reported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Japan,2024,2,1,Wed,Thu,0
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Malaysia,2024,2,1,Sat,Sat,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Singapore,2024,2,1,Sat,Sat,1
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Taiwan,2024,3,1,Sat,Sun,1
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_United States,2024,3,1,Wed,Wed,0
12063.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_United States,2024,3,1,Sat,Sat,1
7320.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_United States,2024,3,1,Wed,Wed,0
7154.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_United States,2024,3,1,Sun,Sun,1
7438.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_United States,2024,3,1,Tue,Tue,0
11617.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_United States,2024,3,1,Fri,Fri,1
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_France,2024,6,2,Tue,Tue,0
,unreported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Spain,2024,6,2,Fri,Fri,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Germany,2024,6,2,Mon,Mon,0
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Netherlands,2024,6,2,Thu,Thu,0
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_England,2024,6,2,Sun,Sun,1
,unreported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Mexico,2024,6,2,Sun,Sun,1
,unreported,Espaço Unimed,concert hall,8000.0,South America,Brazil,São Paulo,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Brazil,2024,6,2,Wed,Wed,0
6414.0,reported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Chile,2024,6,2,Sun,Sun,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Hong Kong,2024,7,3,Sat,Sun,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Philippines,2024,7,3,Sat,Sat,1
,unreported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Australia,2024,7,3,Thu,Thu,0
12181.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1,IVE,female,4,6,"Starship,KAKAO",2,rookie,IVE_Australia,2024,7,3,Sun,Sun,1
16776.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,IVE,female,4,6,"Starship,KAKAO",3,growing,IVE_South Korea,2025,8,3,Sun,Mon,1
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,IVE,female,4,6,"Starship,KAKAO",3,growing,IVE_Indonesia,2025,8,3,Sun,Sun,1
