attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket
4000.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,aespa,female,4,4,"SM,KAKAO",4,growing
3045.0,reported,Centennial Hall ,concert hall,4800.0,Europe,Germany,Frankfurt,1,aespa,female,4,4,"SM,KAKAO",4,growing
8100.0,reported,Movistar Arena,arena,15000.0,Europe,Spain,Madrid,1,aespa,female,4,4,"SM,KAKAO",4,growing
19855.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",4,growing
29092.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,3,aespa,female,4,4,"SM,KAKAO",4,growing
,unreported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2,aespa,female,4,4,"SM,KAKAO",4,growing
,unreported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,3,aespa,female,4,4,"SM,KAKAO",4,growing
,unreported,Aichi International Arena,arena,17000.0,Asia,Japan,Nagoya,2,aespa,female,4,4,"SM,KAKAO",4,growing
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",4,growing
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2,aespa,female,4,4,"SM,KAKAO",4,growing
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Taipei Dome,stadium,59833.0,Asia,Taiwan,Taipei,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Mercado Livre Arena Pacaembu,stadium,40000.0,South America,Brazil,São Paulo,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Costa 21,concert hall,30000.0,South America,Peru,Lima,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1,aespa,female,4,4,"SM,KAKAO",5,growing
5494.0,parcial,UBS Arena,arena,19000.0,North America,United States,New York,1,aespa,female,4,4,"SM,KAKAO",5,growing
5060.0,parcial,Capital One Arena,arena,20356.0,North America,United States,Washington,1,aespa,female,4,4,"SM,KAKAO",5,growing
5806.0,parcial,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,aespa,female,4,4,"SM,KAKAO",5,growing
6767.0,parcial,Kaseya Center,arena,20000.0,North America,United States,Miami,1,aespa,female,4,4,"SM,KAKAO",5,growing
7430.0,unreported,American Airlines Center,arena,21000.0,North America,United States,Dallas,1,aespa,female,4,4,"SM,KAKAO",5,growing
9187.0,unreported,Intuit Dome,arena,18300.0,North America,United States,Inglewood,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,Rogers Arena,arena,19000.0,North America,Canada,Vancouver,1,aespa,female,4,4,"SM,KAKAO",5,growing
,unreported,AO Arena,arena,21000.0,Europe,England,Manchester,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Avicii Arena,arena,16000.0,Europe,Sweden,Stockholm,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Unipol Dome,arena,16000.0,Europe,Italy,Milan,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,aespa,female,4,4,"SM,KAKAO",6,established
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,1,aespa,female,4,4,"SM,KAKAO",6,established
16706.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,BABYMONSTER,female,5,7,YG,0,rookie
,unreported,Prudential Center,arena,17000.0,North America,United States,Newark,1,BABYMONSTER,female,5,7,YG,0,rookie
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,BABYMONSTER,female,5,7,YG,0,rookie
24918.0,reported,Pia Arena MM,arena,12141.0,Asia,Japan,Yokohama,3,BABYMONSTER,female,5,7,YG,0,rookie
,unreported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,2,BABYMONSTER,female,5,7,YG,0,rookie
,unreported,Asue Arena,arena,16000.0,Asia,Japan,Osaka,2,BABYMONSTER,female,5,7,YG,1,rookie
40936.0,reported,K-Arena Yokohama,arena,20000.0,Asia,Japan,Yokohama,3,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,Fukuoka Kokusai Center,arena,10000.0,Asia,Japan,Fukuoka,2,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,Saigon Exhibition and Convention Center,concert hall,2000.0,Asia,Vietnam,Ho Chi Minh City,1,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2,BABYMONSTER,female,5,7,YG,1,rookie
,unreported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1,BABYMONSTER,female,5,7,YG,1,rookie
3636.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,BABYMONSTER,female,5,7,YG,1,rookie
5083.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,BABYMONSTER,female,5,7,YG,1,rookie
5886.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1,BABYMONSTER,female,5,7,YG,1,rookie
6336.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,BABYMONSTER,female,5,7,YG,1,rookie
7085.0,reported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1,BABYMONSTER,female,5,7,YG,1,rookie
21125.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,2,rookie
29241.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,2,rookie
16260.0,reported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,2,BLACKPINK,female,3,4,YG,2,rookie
9690.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1,BLACKPINK,female,3,4,YG,2,rookie
8469.0,reported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1,BLACKPINK,female,3,4,YG,2,rookie
8076.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,BLACKPINK,female,3,4,YG,2,rookie
15504.0,reported,Malawati Indoor Stadium,arena,13000.0,Asia,Malaysia,Kuala Lumpur,2,BLACKPINK,female,3,4,YG,2,rookie
8774.0,reported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1,BLACKPINK,female,3,4,YG,2,rookie
12245.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,BLACKPINK,female,3,4,YG,2,rookie
11417.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,BLACKPINK,female,3,4,YG,2,rookie
10704.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1,BLACKPINK,female,3,4,YG,2,rookie
22944.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2,BLACKPINK,female,3,4,YG,2,rookie
9180.0,reported,Gas South Arena,arena,13100.0,North America,United States,Duluth,1,BLACKPINK,female,3,4,YG,2,rookie
9107.0,reported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1,BLACKPINK,female,3,4,YG,2,rookie
,unreported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1,BLACKPINK,female,3,4,YG,2,rookie
5272.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,BLACKPINK,female,3,4,YG,2,rookie
5424.0,reported,AO Arena,arena,21000.0,Europe,England,Manchester,1,BLACKPINK,female,3,4,YG,2,rookie
9968.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,1,BLACKPINK,female,3,4,YG,2,rookie
7722.0,reported,Max-Schemeling-Halle,arena,12000.0,Europe,Germany,Berlin,1,BLACKPINK,female,3,4,YG,2,rookie
6224.0,reported,Zénith,arena,9000.0,Europe,France,Paris,1,BLACKPINK,female,3,4,YG,2,rookie
8344.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,2,rookie
10081.0,reported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,1,BLACKPINK,female,3,4,YG,2,rookie
12173.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1,BLACKPINK,female,3,4,YG,2,rookie
14317.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1,BLACKPINK,female,3,4,YG,2,rookie
28776.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,2,rookie
50369.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,1,BLACKPINK,female,3,4,YG,3,growing
81931.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,BLACKPINK,female,3,4,YG,3,growing
38846.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,1,BLACKPINK,female,3,4,YG,3,growing
20060.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,6,established
23528.0,reported,American Airlines Center,arena,21000.0,North America,United States,Dallas,2,BLACKPINK,female,3,4,YG,6,established
23480.0,reported,Toyota Center,arena,19000.0,North America,United States,Houston,2,BLACKPINK,female,3,4,YG,6,established
23434.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,2,BLACKPINK,female,3,4,YG,6,established
23990.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,2,BLACKPINK,female,3,4,YG,6,established
25582.0,reported,United Center,arena,23500.0,North America,United States,Chicago,2,BLACKPINK,female,3,4,YG,6,established
23928.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2,BLACKPINK,female,3,4,YG,6,established
46295.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2,BLACKPINK,female,3,4,YG,6,established
35440.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2,BLACKPINK,female,3,4,YG,6,established
17208.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,6,established
15899.0,reported,Lanxess Arena,arena,20000.0,Europe,Germany,Cologne,1,BLACKPINK,female,3,4,YG,6,established
30731.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,2,BLACKPINK,female,3,4,YG,6,established
15525.0,reported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1,BLACKPINK,female,3,4,YG,6,established
26638.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2,BLACKPINK,female,3,4,YG,6,established
14641.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1,BLACKPINK,female,3,4,YG,6,established
66211.0,reported,Suphachalasai Stadium,stadium,35000.0,Asia,Thailand,Bangkok,2,BLACKPINK,female,3,4,YG,6,established
32312.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3,BLACKPINK,female,3,4,YG,6,established
26578.0,reported,Boulevard City,concert hall,,Middle East,Saudi Arabia,Riyadh,1,BLACKPINK,female,3,4,YG,6,established
22209.0,reported,Etihad Park,amphitheater,40000.0,Middle East,United Arab Emirates,Abu Dhabi,1,BLACKPINK,female,3,4,YG,6,established
62642.0,reported,Bukit Jalil Stadium,stadium,90000.0,Asia,Malaysia,Kuala Lumpur,1,BLACKPINK,female,3,4,YG,6,established
113740.0,reported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2,BLACKPINK,female,3,4,YG,6,established
101096.0,reported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2,BLACKPINK,female,3,4,YG,6,established
92720.0,reported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2,BLACKPINK,female,3,4,YG,6,established
100809.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,BLACKPINK,female,3,4,YG,6,established
113498.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,2,BLACKPINK,female,3,4,YG,6,established
97977.0,reported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,2,BLACKPINK,female,3,4,YG,6,established
23267.0,reported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,BLACKPINK,female,3,4,YG,6,established
81108.0,reported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,2,BLACKPINK,female,3,4,YG,6,established
81996.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,BLACKPINK,female,3,4,YG,6,established
23145.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2,BLACKPINK,female,3,4,YG,6,established
25926.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2,BLACKPINK,female,3,4,YG,6,established
,unreported,,,,Oceania,New Zealand,Auckland,1,BLACKPINK,female,3,4,YG,6,established
